Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
"0.25 kVA Transformer Primary 120/240V, Secondary 12/24V, T-1-8105",ACME TRANSFORMER,0.25 kVA,120/240 volts,12/24 volts,Single-phase,Dry,,Nema 3R,Model  T-1-8105   Used   0.25 kVA   120/240 volts   12/24 volts   Single-phase   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/0-25-kva-transformer-primary-120-240v-secondary-12-24v-t-1-8105
3000/5A Current Transformer 785-SD-24822-4,"INSTRUMENT TRANSFORMERS, INC.",10 kV BIL kVA,600 volts,,,Dry,Current Transformer,,Model  785-SD-24822-4   Used   10 kV BIL kVA   600 volts   Current Transformer   Isolation   Dry   50-400Hz 600V INS. CLASS 10kV BIL  Insulated Window,https://www.lenmark.com//collections/dry-type-transformer/products/3000-5a-current-transformer-785-sd-24822-4
Sprinkler Hood Kit,HAMMOND,225 kVA,,,,Dry,,,Model  SHCH7   Surplus New   225 kVA   Dry   Floor Mount  For Use With CH7 Enclosure,https://www.lenmark.com//collections/dry-type-transformer/products/sprinkler-hood-kit
480 volt Contactor No. 44745,BRANDT,0.18 kVA,480 volts,,3-phase,Dry,,,Model  44745   Used   0.18 kVA   480 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/480-volt-contactor-no-44745
"1 kVA, 480 volt Transformer No. 44746",Lenmark Industries,1 kVA,480 volts,220 volts,3-phase,Dry,,,Model  No. 44746   47300   Used   1 kVA   480 volts   220 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1-kva-480-volt-transformer-no-44746
"5 kVA, 240 Primary Voltage, 120 Secondary Voltage Autotransformer 9T51Y5",GENERAL ELECTRIC,5 kVA,240 volts,120 volts,Single-phase,Dry,,,Model  9T51Y5   Used   5 kVA   240 volts   120 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/5-kva-240-primary-voltage-120-secondary-voltage-autotransformer-9t51y5
36VA 24V Transformer AC Output 1036,SIERRA,0.036 kVA,,24 volts,Single-phase,Dry,,,Condition  Surplus New   0.036 kVA   24 volts   Single-phase   Dry  Class 2 XFMR,https://www.lenmark.com//collections/dry-type-transformer/products/36va-24v-transformer-ac-output-1036
"200VA Transformer Primary 120V, Secondary 12000V, 30mA, P1230FPX120",ALLANSON,0.2 kVA,120 volts,,,Dry,,Nema 4,Model  P1230FPX120   Used   0.2 kVA   120 volts   Dry   Nema 4,https://www.lenmark.com//collections/dry-type-transformer/products/200va-transformer-primary-120v-secondary-12000v-30ma-p1230fpx120
1.5 kVA Control Transformer 380V,REX POWER MAGNETICS,1.5 kVA,380 volts,,3-phase,Dry,,,Model  CCR1500P-X/X   CANADA   Used   1.5 kVA   380 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1-5-kva-control-transformer-380v-1
36VA 24V Transformer AC Output 1036,SIERRA,0.036 kVA,,24 volts,Single-phase,Dry,,,Condition  Used   0.036 kVA   24 volts   Single-phase   Dry   Primary Voltage: 36 V Class: 2 XFMR,https://www.lenmark.com//collections/dry-type-transformer/products/36va-24v-transformer-ac-output-1037
200:5 A Current Transformer 40:1 Ratio KT-.6B,WESTINGHOUSE,,,,,Dry,Current Transformer,,Model  KT-.6B   Used   Current Transformer   Dry   Ratio: 40:1   Rated Current: 200 to 5A  Nominal Voltage Class: 600 volts   Rating Factor: 1.5  Style: 816C960 A32,https://www.lenmark.com//collections/dry-type-transformer/products/200-5-a-current-transformer-40-1-ratio-kt-6b
160 VA Industrial Power Supply VDE 0570/EN 61558,B-LOC,1.6 kVA,,,,Dry,,,Model  VDE 0570/EN 61558   Used   1.6 kVA   Dry   Primary Voltage: 400 + -20%V  Secondary Voltage: 230V  Input Current: 4.25VAC  Frequency: 50-60Hz  Nominal Output Current: 6.95A  Output Power: 1.6KVA,https://www.lenmark.com//collections/dry-type-transformer/products/industrial-power-supply-vde-0570-en-61558
Transformer No DIL 4-22,KLOCKNER-MOELLER,58 kVA,600 volts,240/480 volts,3-phase,Dry,,Nema 1,Model  DIL 4-22   Used   58 kVA   600 volts   240/480 volts   3-phase   Isolation   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/transformer-no-dil-4-22
1.8 kVA Dry Transformer No. M1452,STANLEY,1.8 kVA,220 volts,120 volts,Single-phase,Dry,,,Model  M1452   Used   1.8 kVA   220 volts   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1-8-kva-dry-transformer-no-m1452
Transformer 430-9530B,GUTOR,,,,,Dry,,,Model  430-9530B   Very Good   Dry   Internal code: OTC4602459   Technical specification: XFMR SAF ISOL -15% 360-418VAC+10% IEC/UL A071_Trafo,https://www.lenmark.com//collections/dry-type-transformer/products/transformer-430-9530b
1.5 kVA Control Transformer 380V,REX POWER MAGNETICS,1.5 kVA,380 volts,,3-phase,Dry,,,Model  CCR1500P-X/X   CANADA   Used   1.5 kVA   380 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/1-5-kva-control-transformer-380v
200 VA Voltage Transformer 3:1 Ratio Type ME7,SCHLUMBERGER,0.2 kVA,120 volts,,,Dry,,,Model  ME7   816178   CANADA   Used   0.2 kVA   120 volts   Dry   Ratio: 3:1   Insulation Class: 0.7 kV  Accuracy: 0.3W   Precision: 0.6X  Voltage Tension: 360-120 volts   Thermal Rating: 200 VA  L.I.L TEC: 10 KV,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-voltage-transformer-3-1-ratio-type-me7-3
150 VA Transformer No. DO-0150QH,DELTA,0.15 kVA,600 volts,120/240 volts,Single-phase,Dry,,Nema 1,Model  DO-0150QH   Used   0.15 kVA   600 volts   120/240 volts   Single-phase   Dry   Nema 1,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-transformer-no-do-0150qh
200 VA Voltage Transformer 3:1 Ratio Type ME7,SCHLUMBERGER,0.2 kVA,120 volts,,,Dry,,,Model  ME7   20001085   CANADA   Used   0.2 kVA   120 volts   Dry   Ratio: 3:1   Insulation Class: 0.7 kV  Accuracy: 0.3W   Precision: 0.6X  Voltage Tension: 360-120 volts   Thermal Rating: 200 VA  L.I.L TEC: 10 kV,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-voltage-transformer-3-1-ratio-type-me7-2
200 VA Voltage Transformer 3:1 Ratio Type ME7,SCHLUMBERGER,0.2 kVA,,,,Dry,,,Model  ME7   CANADA   Used   0.2 kVA   Dry   Ratio: 3:1   Insulation Class: 0.7 kV  Accuracy: 0.3W   Precision: 0.6X  Voltage Tension: 360-120 volts   Thermal Rating: 200 VA  L.I.L TEC: 10 KV,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-voltage-transformer-3-1-ratio-type-me7-1
200 VA Voltage Transformer 3:1 Ratio Type ME7,SCHLUMBERGER,,,,,Dry,,,Model  ME7   20001067   CANADA   Used   Dry   Ratio: 3:1   Insulation Class: 0.7 kV  Accuracy: 0.3W   Precision: 0.6X  Voltage Tension: 360-120 volts   Thermal Rating: 200 VA  L.I.L TEC: 10 KV,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-voltage-transformer-3-1-ratio-type-me7
150 VA Transformer EXA015036R,TMS,150 kVA,480 volts,120 volts,3-Phase,Dry,,,Model  EXA015036R   Used   150 kVA   480 volts   120 volts   3-Phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-transformer-exa015036r
50 VA Transformer No. E7AK020B-96161,KITO,0.05 kVA,,,,Dry,,,Model  E7AK020B-96161   Used   0.05 kVA   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/transformer-no-e7ak020b-96161
"500 VA Auto Transformer 9T51B128, Primary 120/240, Secondary 16/32V",GENERAL ELECTRIC,0.5 kVA,120/240 volts,,Single-phase,Dry,,,Model  9T51B128   Used   0.5 kVA   120/240 volts   Single-phase   Auto   Dry   Primary Voltage: 120/240V Secondary Voltage: 16/32V,https://www.lenmark.com//collections/dry-type-transformer/products/500-va-transformer-9t51b128-primary-120-240-secondary-16-32v
"Current Transformer 100:5Amp 0.8VA 10kV, 1SP-100-00-L36",WICC,,,,,Dry,Current Transformer,,Model  1SP-100-00-L36   Used   Current Transformer   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/current-transformer-100-5amp-0-8va-10kv-1sp-100-00-l36
200 VA Transformer No. W71-J/160,WALCHER,0.2 kVA,460 volts,220 volts,3-phase,Dry,,,Model  WT1-J/200   Used   0.2 kVA   460 volts   220 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-transformer-no-w71-j-160
500 VA Transformer No. MH500LJ,HAMMOND,0.5 kVA,208 volts,120 volts,Single-phase,Dry,,,Model  MH500LJ   CANADA   Used   0.5 kVA   208 volts   120 volts   Single-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/500-va-transformer-no-mh500lj
"1200:2.4 Ratio, 600 Volts Current Transformer 3P2127-1200-2.4",EMC,,600 volts,,3-phase,Dry,Current Transformer,,Model  3P2127-1200-2.4   Used   Current Transformer   Dry   600 volts   3-phase   Amps : 1200:2.4A Insulation Class: 10Kv Bil.,https://www.lenmark.com//collections/dry-type-transformer/products/current-transformer-3-phase-12002-4a-600v
150 VA Ignition Transformer No. 1092-F,ALLANSON,0.15 kVA,120 volts,6000 volts,Single-phase,Dry,,,Model  1092-F   CANADA   Surplus New   0.15 kVA   120 volts   6000 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-ignition-transformer-no-1092-f
KCT-203-FD Split Core Current Transformer,Lenmark Industries,,120/208 volts,277/480 volts,Multi-phase,Dry,Current Transformer,,"Model  KCT-203-FD   Used   Current Transformer   Dry   120/208 volts   277/480 volts   Multi-phase   Product Type: Electrical Meter  Window : 400:0.1A - 1.68   To determine the amount of Amperage Points/CTs needed in your assembly for ever meter point, it will vary on the voltage system.  120V_1ø2 wire voltage systems require 1 CT per meter point (1:1).  120/240V_1ø3 wire and 120/208V_2ø3 wire voltage systems require 2 CTs per meter point (1:2).  120/208V_3ø4 wire, 240/416V_3ø4 wire, 277/480V_3ø4 wire, 347/600V_3ø4 wire, 208V_3ø3 wire, 416V_3ø3 wire, 480V_3ø3wire and 600V_3ø3 wire voltage systems require 3 CTs per meter point (1:3).",https://www.lenmark.com//collections/dry-type-transformer/products/kct-203-fd-split-core-current-transformer
200 VA Transformer Type T-1B,GOMI ELECTRIC,0.2 kVA,120 volts,,Single-phase,Dry,,,Model  T-1B   JAPAN   Used   0.2 kVA   120 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/gew-200-va-transformer-type-t-1b
160 VA Transformer No. W71-J/160,WALCHER,0.16 kVA,440 volts,240 volts,3-phase,Dry,,,Model  WT1-J/160   Used   0.16 kVA   440 volts   240 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/160-va-transformer-no-w71-j-160
150 VA Transformer No. PH150QP,HAMMOND,0.15 kVA,480 volts,120 volts,3-phase,Dry,,,Model  PH150QP   CANADA   Used   0.15 kVA   480 volts   120 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-transformer-no-ph150qp
0.130 kVA Control Circuit Transformer 1497-C-CXSX-3-N,ALLEN-BRADLEY,,600 volts,120 volts,Single-phase,Dry,,,"Model  1497-C-CXSX-3-N   MEXICO   Used   Dry   600 volts   120 volts   Single-phase   Output Power: 63...2000VA  Insulation: 63....2000VA-Class 130 °C (55...80°C Temp. rise)  Certifications: cULus, CE   Hertz: 60/50",https://www.lenmark.com//collections/dry-type-transformer/products/control-circuit-transformer-1497-c-cxsx-3-n
100 VA Transformer CS100JHCB-K,REX POWER MAGNETICS,0.1 kVA,0-208/240/480/600 volts,120/240 volts,Single-phase,Dry,,,Model  CS100JHCB-K   CANADA   Used   0.1 kVA   0-208/240/480/600 volts   120/240 volts   Single-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/100-va-transformer-cs100jhcb-k
100 VA Transformer Type TRH-2,GOMI ELECTRIC,0.1 kVA,200/220 volts,24/26/28 volts,Single-phase,Dry,,,Model  TRH-2   N517   JAPAN   Used   0.1 kVA   200/220 volts   24/26/28 volts   Single-phase   Auto   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/100-va-transformer-type-trh-2
250 VA Transformer No. HJ7M,HAMMOND,0.25 kVA,480 volts,240 volts,3-phase,Dry,,,Model  HJ7M   CANADA   Used   0.25 kVA   480 volts   240 volts   3-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/250-va-transformer-no-hj7m
1000 VA Transformer 4160 Primary Volts 120 Secondary Volts CPT1000UA,REX MANUFACTURING,1 kVA,4160 volts,120 volts,Single-phase,Dry,,,Model  CPT1000UA   C26788-1   Used   1 kVA   4160 volts   120 volts   Single-phase   Isolation   Dry   Type: ANN VA: 1000  Insulation Class: 185C,https://www.lenmark.com//collections/dry-type-transformer/products/1000-va-transformer-4160-primary-volts-120-secondary-volts-cpt1000ua
".100 kVA Transformer 120/240 Primary Voltage, 16/32 Secondary Voltage 9T51Y124",GENERAL ELECTRIC,.100 kVA,120/240 volts,,Single-phase,Dry,,,Model  9T51Y124   Used   .100 kVA   120/240 volts   Single-phase   Dry   Secondary Voltage: 16/32 Volts Frequency: 50/60 Hz,https://www.lenmark.com//collections/dry-type-transformer/products/100-kva-transformer-120-240-primary-voltage-16-32-secondary-voltage-9t51y124
150 VA Transformer,FUCHU HIROSIMA,0.15 kVA,220 volts,120 volts,Single-phase,Dry,,,Made In  JAPAN   Used   0.15 kVA   220 volts   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-transformer
"200 VA Transformer Pri. 600V, Sec. 120V",CUTLER-HAMMER,0.200 kVA,600 volts,120 volts,,Dry,,,Model  5699A85H33   200-120-600   Used   0.200 kVA   600 volts   120 volts   Dry  Part No.: 5699A85H33 98/43,https://www.lenmark.com//collections/dry-type-transformer/products/voltage-transformer-600v-5699a85h33-98-43
"0.100 kVA Transformer 120/240 Primary Voltage, 16/32 Secondary Voltage 9T51Y124",GENERAL ELECTRIC,0.1 kVA,120/240 volts,,Single-phase,Dry,,,Model  9T51Y124   Surplus New   0.1 kVA   120/240 volts   Single-phase   Dry   Secondary Voltage: 16/32 Volts Frequency: 50/60 Hz,https://www.lenmark.com//collections/dry-type-transformer/products/0-100-kva-transformer-120-240-primary-voltage-16-32-secondary-voltage-9t51y124
100 VA Transformer Type T-1B,GOMI ELECTRIC,0.1 kVA,120 volts,,Single-phase,Dry,,,Model  T-1B   JAPAN   Used   0.1 kVA   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/gew-100-va-transformer-type-t-1b
50 VA Transformer No. Z9768,HAMMOND,,600 volts,120 volts,,Dry,,,Model  Z9768   Used   Dry   600 volts   120 volts,https://www.lenmark.com//collections/dry-type-transformer/products/50-va-transformer-no-z9768
150 VA Transformer No. C0150E5EFB,Lenmark Industries,0.15 kVA,480 volts,120 volts,Single-phase,Dry,,,Model  C0150E5EFB   Used   0.15 kVA   480 volts   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/150-va-transformer-no-c0150e5efb
100 VA Transformer DO 0100 UH,TMS,0.1 kVA,600 volts,120/240 volts,3-phase,Dry,,,Model  DO 0100 UH   Used   0.1 kVA   600 volts   120/240 volts   3-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/100-va-transformer-do-0100-uh
Plug-in Power Supply Transformer No. WP410812D,POTRANS,0.36 kVA,120 volts,,,Dry,,,Model  WP410812D   CHINA   Very Good   0.36 kVA   120 volts   Dry   Secondary Voltage (Output): 12 volts,https://www.lenmark.com//collections/dry-type-transformer/products/plug-in-power-supply-transformer-no-wp410812d
"500 VA Single-Phase Transformer, Pri. 575 V, Sec. 230 V",TRANSFOS LEROY,0.5 kVA,600 volts,230 volts,Single-phase,Dry,,,Condition  Used   0.5 kVA   600 volts   230 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/500-va-single-phase-transformer-pri-575-v-sec-230-v
3.0 kVA Dry Type Transformer 9T51B93 Pri. 600V Sec. 120/240V,GENERAL ELECTRIC,3.0 kVA,600 volts,120/240 volts,Single-phase,Dry,Current Transformer,Nema 3,Model  9T51B93   Surplus New   3.0 kVA   600 volts   120/240 volts   Single-phase   Current Transformer   Dry   Nema 3  Type: QB,https://www.lenmark.com//collections/dry-type-transformer/products/3-0-kva-dry-type-transformer-9t51b93-pri-600v-sec-120-240v
100 VA Control Transformer FT8477,MOELLER,0.1 kVA,480 volts,120 volts,Single-phase,Dry,,,Model  FT8477   CANADA   Surplus New   0.1 kVA   480 volts   120 volts   Single-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/100-va-control-transformer-ft8477
60 VA Transformer No. 126,JEIL ELECTRONICS,0.06 kVA,600 volts,220 volts,Single-phase,Dry,,,Year:  1987   SOUTH KOREA   Used   0.06 kVA   600 volts   220 volts   Single-phase   Dry   Capacity: 60 VA,https://www.lenmark.com//collections/dry-type-transformer/products/60-va-transformer-no-126
"50:5 A Ratio, 600 Volts Current Transformer 1C16520P1",TYCO ELECTRONICS,2.5 kVA,600 volts,,Single-phase,Dry,Current Transformer,,Model  1C16520P1   Used   2.5 kVA   600 volts   Single-phase   Current Transformer   Dry   Ratio: 50:5 RF: 1.5  Frequency: 50-400 Hz Insulation Class: 10kV,https://www.lenmark.com//collections/dry-type-transformer/products/600v-current-transformer-ratio-50-5-a-1c16520p1
"1500:5 A Ratio, 600 Volts Current Transformer 1C16520P8",TYCO ELECTRONICS,25 kVA,600 volts,,Single-phase,Dry,Current Transformer,,Model  1C16520P8   Used   25 kVA   600 volts   Single-phase   Current Transformer   Dry   Frequency: 50-400Hz RF: 1.5  Ratio: 1500:5,https://www.lenmark.com//collections/dry-type-transformer/products/600v-current-transformer-ratio-1500-5-a-1c16520p8
600:5 A Current Transformer Type MV-7 2W,SCHLUMBERGER,,,,,Dry,Current Transformer,,Model  MV-7 2W   CANADA   Used   Current Transformer   Dry   Ratio: 600:5 A   Insulation Class: 0.7 kV  Accuracy: 0.3B   Precision: 0.9  Rating Factor: 1.5   L.I.L TEC: 10 KV,https://www.lenmark.com//collections/dry-type-transformer/products/600-5-a-current-transformer-type-mv-7-2w
40 VA Transformer Pri. 120 Volts Sec. 24 Volts,EDWARDS,0.04 kVA,120 volts,24 volts,Single-phase,Dry,,,Model  599   Surplus New   0.04 kVA   120 volts   24 volts   Single-phase   Dry   Frequency: 50/60 Hz Class: 2  Mounting: Panel Mount Termination: Screw,https://www.lenmark.com//collections/dry-type-transformer/products/40-kva-power-transformer-120-primary-volts-20-secondary-volts-599
300 VA Transformer Type TRH55,GOMI ELECTRIC,0.3 kVA,220 volts,120 volts,Single-phase,Dry,,,Model  TRH55   JAPAN   Used   0.3 kVA   220 volts   120 volts   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/300-va-transformer-type-trh55
10VA 16V Chime Transformer No. 288,EAGLE,0.01 kVA,,,Single-phase,Dry,,,Model  288   Used   0.01 kVA   Single-phase   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/10va-16v-chime-transformer-no-288
200 VA Transformer No. X-210902,ALLEN-BRADLEY,.2 kVA,600 volts,120 volts,Single-phase,Dry,,,Model  X-210902   CANADA   Used   .2 kVA   600 volts   120 volts   Single-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-transformer-no-x-210902
Transformer Bushing,Lenmark Industries,,,,,Dry,,,Condition  Used   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/transformer-bushing
"277V Transformer Conversion Kit FK-2K,",EZ-SNAP,,,,,Dry,,,Model  FK-2K   Used   Dry   Input: 277V Output: 120V,https://www.lenmark.com//collections/dry-type-transformer/products/277v-transformer-conversion-kit-fk-2k
200 VA Dry Type Transformer No. X-210902,ALLEN-BRADLEY,0.2 kVA,600 volts,120 volts,,Dry,,,Model  X-210902   CANADA   Used   0.2 kVA   600 volts   120 volts   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/200-va-dry-type-transformer-no-x-210902
0.72/3kV 50/60Hz Current Transformer TAS20B,IME,3 kVA,120 volts,,,Dry,Current Transformer,,Model  TAS20B   Used   3 kVA   120 volts   Current Transformer   Dry   Primary Current: 100 A Secondary Current: 5 A  Volt-Amp @ CL Ratings:  2 VA @ 1 CL 4 VA @ 3 CL,https://www.lenmark.com//collections/dry-type-transformer/products/0-72-3kv-50-60hz-current-transformer-tas20b
"5000 kVA Transformer 34500 pri. volts, 600/346 sec. volts",SIEMENS,5000 kVA,34500 volts,600/346 volts,3-phase,Oil,Power Transformer,,Year:  2014   390300   Used   5000 kVA   34500 volts   600/346 volts   3-phase   Power Transformer   Isolation   Oil  Type: cK0UM 108 7-14 s/34.5,https://www.lenmark.com//collections/transformers-oil/products/5000-kva-transformer-34500-pri-volts-600-346-sec-volts
30 VA Signal Transformer No. 241-6-20,SIGNAL RECOVERY,,,,,Dry,,,Model  241-6-20   Used   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/30-va-signal-transformer-no-241-6-20
"15,000 kVA Transformer, 25000 Primary Voltage, 34500Y/19200 Secondary Voltage",ABB,"15,000 kVA",25000 volts,34500Y/19200 volts,3-phase,Oil,,,"Year:  2004   HB15876-002   Very Good   15,000 kVA   25000 volts   34500Y/19200 volts   3-phase   Auto   Oil",https://www.lenmark.com//collections/transformers-oil/products/15-000-kva-transformer-25000-primary-voltage-34500y-19200-secondary-voltage-1
"EDWARDS SIGNALING 592 20 VA Transformer 592, Primary 120V, Secondary 8V/16V/24V",EDWARDS SIGNALING,0.02 kVA,120 volts,24 volts,Single-phase,Dry,,,Model  592   Surplus New   0.02 kVA   120 volts   24 volts   Single-phase   Dry   Primary: 120V Secondary: 8V/16V/24V,https://www.lenmark.com//collections/dry-type-transformer/products/edwards-signaling-592-20-va-transformer-592-primary-120v-secondary-8v-16v-24v
"15,000 kVA Transformer, 25000 Primary Voltage, 34500Y/19200 Secondary Voltage",ABB,"15,000 kVA",25000 volts,34500Y/19200 volts,3-phase,Oil,,,"Year:  2004   HB15778-001   Very Good   15,000 kVA   25000 volts   34500Y/19200 volts   3-phase   Auto   Oil",https://www.lenmark.com//collections/transformers-oil/products/15-000-kva-transformer-25000-primary-voltage-34500y-19200-secondary-voltage
"Mobile Substation 5000 KVA Transformer Pri. 34500 V, Sec. 600/346 w/switch gear",SIEMENS,5000 kVA,34500 volts,600/346 volts,3-phase,Oil,Power Transformer,,"Year:  2015   Used   5000 kVA   34500 volts   600/346 volts   3-phase   Power Transformer   Isolation   Oil   Substation includes:  Switch Circuit Breaker transformer eHouse 5,000 amp main frame w/ 5,000 amp trip 800 amp main frame w/ 200 amp trip Low voltage transformer 75 kva with tri axle double drop semi Trailer",https://www.lenmark.com//collections/transformers-oil/products/mobile-substation-on-trailer-w-5-kv-transformer-pri-34500-v-sec-600-346-v
50 VA Control Transformer MT0050E,SIEMENS,- kVA,600 volts,120 volts,Single-phase,Dry,,,Model  MT0050E   Used   - kVA   600 volts   120 volts   Single-phase   Isolation   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/50-va-control-transformer-mt0050e
"10,000 kVA KNAN Sealed Oil Transformer, HV. 13800, LV. 4160Y/2402",NORTHERN TRANSFORMER,10000 kVA,13800 volts,4160Y/2402 volts,3-phase,Oil,Pad Mounted Transformer,,Year:  2017   16-2842   Used   10000 kVA   13800 volts   4160Y/2402 volts   3-phase   Pad Mounted Transformer   Isolation   Oil,https://www.lenmark.com//collections/transformers-oil/products/10-000-kva-knan-sealed-oil-transformer-hv-13800-lv-4160y-2402
"750 kVA Oil Filled Padmount Transformer, 12.47 kV pri., 600/347 sec. volts (New)",ETAC,750 kVA,12470 volts,600/347 volts,3-phase,Oil,Pad Mounted Transformer,,Year:  2023   Surplus New   750 kVA   12470 volts   600/347 volts   3-phase   Pad Mounted Transformer   Isolation   Oil   Primary Voltage BIL kV: 95 Secondary Voltage BIL kV: 30  Core & Coil Weight: 1170 kg Fluid: Mineral oil  Liters: 955L (850 kg),https://www.lenmark.com//collections/transformers-oil/products/750-kva-oil-filled-padmount-transformer-12-47-kv-pri-600-347-sec-volts-new
"1000kVA Step-Down Transformer 71012C7-31000, 13,800V Pri., 480V Sec.",SOUTHWEST ELECTRIC,1000 kVA,13800 volts,480 volts,3-phase,Oil,Power Transformer,,"Model  71012C7-31000   2014   1309101182   Used   1000 kVA   13800 volts   480 volts   3-phase   Power Transformer   Isolation   Oil   Type: Non-VSD Class: ONAN  Primary: 13,800V, 95kV BIL Secondary: 480V, 30kV BIL  Insulating Liquid (Non-PCB): Mineral Oil, 489 Gal.",https://www.lenmark.com//collections/transformers-oil/products/1000kva-step-down-transformer-71012c7-31000-13-800v-pri-480v-sec
"1250 kVA Oil Filled Transformer, Pri. 25000(12500) V, Sec. 415/240 V",JIANGSU ZHENGLAI,1250 kVA,25000 volts,,3-phase,Oil,Pad Mounted Transformer,,"Model  ZGSLB-1250/25/0.415   2021   JSZL2021   CHINA   Used   1250 kVA   25000 volts   3-phase   Pad Mounted Transformer   Isolation   Oil   Primary Voltage: 25000(12500) V Secondary Voltage: 416/240 V  HV Rated Current: 28.87(57.73) A LV Rated Current: 1734.83 A  Cooling Class: ONAN Temp. Rise: 65C  Impedance: 6.3% Insulating Oil: Sinopec #45 oil  Oil Volume: 1540 L Total Weight: 4830 kg  Tank Withstand Vacuum Pressure: 40 kPa Positive // 50 kPa Negative AC Low Voltage Distribution Cabinet Rated Current: 2500 A  Phase: 3-ph, 5-wires Rated Voltage: 415 V  Includes:  Susol 2500 Amp 3-Pole Power Circuit Breaker (5) Susol 400 Amp 3-Pole Circuit Breaker",https://www.lenmark.com//collections/transformers-oil/products/1250-kva-oil-filled-transformer-pri-2500012500-v-sec-415-240-v
"3000 kVA Oil-Filled ONAN/ONAF Transformer, HV. 13800, LV. 2400Y/1385",FERRANTI-PACKARD,3000 kVA,13800 volts,2400Y/1385 volts,3-phase,Oil,Pad Mounted Transformer,,Year:  1987   0748501001   Used   3000 kVA   13800 volts   2400Y/1385 volts   3-phase   Pad Mounted Transformer   Isolation   Oil,https://www.lenmark.com//collections/transformers-oil/products/3000-kva-oil-filled-onan-onaf-transformer-hv-13800-lv-2400y-1388
"3000 kVA Oil-Filled ONAN/ONAF Transformer, HV. 13800, LV. 2400Y/1385",FERRANTI-PACKARD,3000 kVA,13800 volts,2400Y/1385 volts,3-phase,Oil,Pad Mounted Transformer,,Year:  1987   0748501003   Used   3000 kVA   13800 volts   2400Y/1385 volts   3-phase   Pad Mounted Transformer   Isolation   Oil,https://www.lenmark.com//collections/transformers-oil/products/3000-kva-oil-filled-onan-onaf-transformer-hv-13800-lv-2400y-1389
"3000 kVA Oil-Filled ONAN/ONAF Transformer, HV. 13800, LV. 2400Y/1385",FERRANTI-PACKARD,3000 kVA,13800 volts,2400Y/1385 volts,3-phase,Oil,Pad Mounted Transformer,,Year:  1998   0898101001   Used   3000 kVA   13800 volts   2400Y/1385 volts   3-phase   Pad Mounted Transformer   Isolation   Oil,https://www.lenmark.com//collections/transformers-oil/products/3000-kva-oil-filled-onan-onaf-transformer-hv-13800-lv-2400y-1387
